Koordinatensystem : Lambert konform konisch
Rechtswert        : 4210500 Meter
Hochwert          : 2861500 Meter
Hoehenlage        : 32 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4210500 2861500  1  1  1  -3.1 1012 188  2.5 3  2.6  82    0    0 271 -294  1
4210500 2861500  1  1  2  -2.5 1012 202  2.0 4  2.8  86    0    0 264 -293  1
4210500 2861500  1  1  3  -2.1 1012 202  1.8 3  2.9  89    0    0 244 -292  1
4210500 2861500  1  1  4  -2.8 1012 184  1.9 2  2.8  90    0    0 222 -289  1
4210500 2861500  1  1  5  -3.4 1012 168  2.3 1  2.7  91    0    0 205 -287  1
4210500 2861500  1  1  6  -4.2 1011 140  2.5 0  2.6  91    0    0 190 -285  1
4210500 2861500  1  1  7  -4.1 1010 164  3.1 1  2.5  91    0    0 186 -284  1
4210500 2861500  1  1  8  -4.1 1010 164  3.1 2  2.5  89    0    0 199 -283  1
4210500 2861500  1  1  9  -4.1 1009 134  3.4 3  2.4  87    0    0 211 -283  1
4210500 2861500  1  1 10  -3.2 1009 153  4.4 6  2.5  85    0   30 235 -284  1
4210500 2861500  1  1 11  -3.0 1008 147  4.4 5  2.5  82   53   83 246 -286  1
4210500 2861500  1  1 12  -1.7 1008 153  4.6 5  2.5  78   76  106 243 -290  1
4210500 2861500  1  1 13  -0.8 1007 144  4.7 5  2.6  74   33  111 246 -295  1
4210500 2861500  1  1 14   0.0 1006 155  4.9 6  2.6  71    1   73 254 -299  1
4210500 2861500  1  1 15   0.8 1004 151  5.9 5  2.6  66   11   65 255 -300  1
4210500 2861500  1  1 16   0.9 1003 153  6.4 7  2.5  63    4   26 261 -301  1
4210500 2861500  1  1 17   0.8 1003 151  5.4 7  2.5  62    0    0 277 -302  1
4210500 2861500  1  1 18   0.8 1002 152  5.6 8  2.5  62    0    0 286 -303  1
4210500 2861500  1  1 19   0.8 1001 158  6.1 7  2.5  62    0    0 285 -304  1
4210500 2861500  1  1 20   0.9 1001 157  5.0 8  2.6  63    0    0 285 -304  1
4210500 2861500  1  1 21   0.7 1000 165  5.4 8  2.7  66    0    0 305 -305  1
4210500 2861500  1  1 22   0.9 1000 171  5.9 8  2.8  70    0    0 306 -307  1
4210500 2861500  1  1 23   0.3 1000 171  4.8 8  3.1  78    0    0 309 -308  1
4210500 2861500  1  1 24   0.6 1000 167  4.6 8  3.4  87    0    0 312 -310  1
4210500 2861500  1  2  1   0.0  999 171  4.2 8  3.5  90    0    0 313 -312  1
4210500 2861500  1  2  2   0.4  999 179  4.3 8  3.6  93    0    0 315 -314  1
4210500 2861500  1  2  3   0.6  998 195  2.8 8  3.7  94    0    0 316 -315  1
4210500 2861500  1  2  4   1.0  999 186  3.6 8  3.8  93    0    0 318 -316  1
4210500 2861500  1  2  5   1.3  998 197  3.1 7  3.8  91    0    0 312 -316  1
4210500 2861500  1  2  6   1.0  998 187  3.2 8  3.8  90    0    0 311 -316  1
4210500 2861500  1  2  7   1.3  998 188  3.3 8  3.8  90    0    0 316 -316  1
4210500 2861500  1  2  8   1.3  997 175  3.0 8  3.8  89    0    0 316 -318  1
4210500 2861500  1  2  9   1.3  997 175  2.7 8  3.8  90    1    9 316 -320  1
4210500 2861500  1  2 10   1.5  997 176  2.5 8  3.9  91    6   46 315 -321  1
4210500 2861500  1  2 11   2.0  997 192  2.4 7  3.8  88   21  100 308 -322  1
4210500 2861500  1  2 12   2.2  997 188  2.5 5  3.8  85   19  119 284 -324  1
4210500 2861500  1  2 13   2.5  997 162  2.3 7  3.9  85    2   86 283 -327  1
4210500 2861500  1  2 14   2.8  997 151  2.7 7  3.9  84    0   49 300 -331  1
4210500 2861500  1  2 15   3.1  996 155  2.6 7  3.9  82    0   38 301 -336  1
4210500 2861500  1  2 16   3.1  996 165  3.8 7  4.0  83    0    6 302 -337  1
4210500 2861500  1  2 17   2.7  996 163  2.9 5  4.1  87    0    0 287 -336  1
4210500 2861500  1  2 18   2.5  996 173  3.0 2  4.2  90    0    0 249 -333  1
4210500 2861500  1  2 19   1.8  997 178  3.0 1  4.2  92    0    0 220 -329  1
4210500 2861500  1  2 20   2.1  997 155  3.0 1  4.1  93    0    0 209 -326  1
4210500 2861500  1  2 21   2.3  997 179  3.5 0  4.2  92    0    0 205 -325  1
4210500 2861500  1  2 22   2.0  997 172  3.3 4  4.2  92    0    0 237 -326  1
4210500 2861500  1  2 23   2.0  998 180  3.0 4  4.2  94    0    0 265 -328  1
4210500 2861500  1  2 24   1.7  997 171  3.0 3  4.2  95    0    0 257 -329  1
4210500 2861500  1  3  1   3.5  998 176  3.9 5  4.2  90    0    0 260 -329  1
4210500 2861500  1  3  2   3.1  998 173  3.3 3  4.1  85    0    0 263 -329  1
4210500 2861500  1  3  3   3.0  997 165  3.3 2  4.1  85    0    0 243 -328  1
4210500 2861500  1  3  4   2.3  997 173  4.4 4  4.1  87    0    0 249 -328  1
4210500 2861500  1  3  5   3.2  998 184  3.6 6  4.1  87    0    0 274 -328  1
4210500 2861500  1  3  6   3.5  998 176  3.7 7  4.1  85    0    0 293 -328  1
4210500 2861500  1  3  7   3.6  998 181  4.0 7  4.2  84    0    0 298 -328  1
4210500 2861500  1  3  8   3.8  998 197  3.7 7  4.2  84    0    0 298 -329  1
4210500 2861500  1  3  9   4.0  998 190  3.7 7  4.2  83    0    0 299 -329  1
4210500 2861500  1  3 10   4.4  999 196  4.3 7  4.3  83   18   40 300 -330  1
4210500 2861500  1  3 11   5.3  999 215  4.3 5  4.4  82   75   67 289 -333  1
4210500 2861500  1  3 12   6.0 1000 216  4.2 4  4.6  80  104   85 276 -336  1
4210500 2861500  1  3 13   6.5 1000 220  5.2 4  4.6  77   93   95 273 -337  1
4210500 2861500  1  3 14   7.3 1000 228  5.1 5  4.7  74   22   89 282 -338  1
4210500 2861500  1  3 15   6.9 1000 239  4.5 6  4.6  73   11   61 294 -339  1
4210500 2861500  1  3 16   5.8 1001 243  4.2 7  4.7  77    0   21 301 -338  1
4210500 2861500  1  3 17   5.0 1002 244  3.9 7  4.8  86    0    0 304 -335  1
4210500 2861500  1  3 18   5.3 1002 240  4.0 7  5.0  91    0    0 303 -333  1
4210500 2861500  1  3 19   5.1 1003 236  4.1 6  5.0  90    0    0 298 -328  1
4210500 2861500  1  3 20   4.9 1004 244  3.7 7  4.8  88    0    0 296 -323  1
4210500 2861500  1  3 21   4.5 1005 247  3.4 7  4.7  87    0    0 299 -320  1
4210500 2861500  1  3 22   3.9 1005 231  2.9 5  4.5  87    0    0 287 -319  1
4210500 2861500  1  3 23   3.4 1006 239  2.7 4  4.4  88    0    0 271 -318  1
4210500 2861500  1  3 24   3.0 1006 228  2.1 4  4.3  90    0    0 266 -318  1
4210500 2861500  1  4  1   2.9 1006 198  1.9 5  4.3  90    0    0 271 -319  1
4210500 2861500  1  4  2   2.2 1006 189  1.5 4  4.2  91    0    0 270 -322  1
4210500 2861500  1  4  3   1.7 1006 191  1.2 1  4.0  92    0    0 246 -324  1
4210500 2861500  1  4  4   1.2 1006 193  2.2 1  3.9  92    0    0 231 -326  1
4210500 2861500  1  4  5   0.8 1006 156  1.7 0  3.8  93    0    0 221 -327  1
4210500 2861500  1  4  6   0.5 1005 159  2.7 1  3.8  94    0    0 214 -328  1
4210500 2861500  1  4  7   0.8 1005 155  3.1 2  3.7  93    0    0 219 -328  1
4210500 2861500  1  4  8   0.6 1005 145  3.1 2  3.7  92    0    0 216 -328  1
4210500 2861500  1  4  9   0.8 1004 143  3.1 3  3.7  93    0    7 216 -329  1
4210500 2861500  1  4 10   1.4 1004 151  3.8 5  3.8  91   18   44 237 -329  1
4210500 2861500  1  4 11   1.4 1003 152  3.7 5  3.7  88   49   84 256 -331  1
4210500 2861500  1  4 12   1.8 1003 143  3.8 6  3.7  86   33  107 267 -333  1
4210500 2861500  1  4 13   2.8 1002 143  4.1 5  3.7  83   55  114 273 -334  1
4210500 2861500  1  4 14   4.1 1002 149  4.3 4  3.9  79   89   96 264 -335  1
4210500 2861500  1  4 15   4.2 1001 144  4.0 4  4.0  77   44   71 258 -336  1
4210500 2861500  1  4 16   4.0 1001 130  4.3 5  4.1  79    5   27 263 -337  1
4210500 2861500  1  4 17   3.7 1000 132  4.0 6  4.1  81    0    0 281 -337  1
4210500 2861500  1  4 18   4.2 1000 140  3.8 6  4.1  81    0    0 296 -337  1
4210500 2861500  1  4 19   4.7 1000 146  4.4 7  4.1  78    0    0 307 -337  1
4210500 2861500  1  4 20   4.5 1000 150  4.5 8  4.1  77    0    0 320 -337  1
4210500 2861500  1  4 21   4.1 1000 143  4.0 8  4.2  80    0    0 326 -337  1
4210500 2861500  1  4 22   4.0 1000 155  4.3 8  4.3  84    0    0 327 -337  1
4210500 2861500  1  4 23   4.3 1000 168  4.2 8  4.5  86    0    0 327 -339  1
4210500 2861500  1  4 24   4.6  999 175  4.2 8  4.5  86    0    0 328 -339  1
4210500 2861500  1  5  1   4.4 1000 182  4.1 8  4.6  87    0    0 328 -338  1
4210500 2861500  1  5  2   4.5 1000 175  3.1 8  4.7  90    0    0 328 -337  1
4210500 2861500  1  5  3   4.8 1000 180  3.1 8  4.8  89    0    0 329 -337  1
4210500 2861500  1  5  4   4.8 1000 190  3.9 6  4.8  88    0    0 317 -338  1
4210500 2861500  1  5  5   4.6 1000 202  3.6 6  4.7  88    0    0 306 -336  1
4210500 2861500  1  5  6   4.8 1000 192  3.1 6  4.6  86    0    0 306 -333  1
4210500 2861500  1  5  7   4.5 1000 193  3.8 4  4.6  86    0    0 296 -332  1
4210500 2861500  1  5  8   4.4 1000 188  4.2 2  4.6  87    0    0 280 -333  1
4210500 2861500  1  5  9   4.3  999 186  3.5 1  4.5  86    2    8 268 -334  1
4210500 2861500  1  5 10   4.7  999 176  4.0 4  4.5  85   37   47 267 -334  1
4210500 2861500  1  5 11   5.5  999 166  4.0 4  4.6  83   54   86 275 -335  1
4210500 2861500  1  5 12   5.8  998 159  3.8 6  4.6  80    9   93 282 -338  1
4210500 2861500  1  5 13   5.3  997 154  5.0 7  4.6  80    0   62 295 -341  1
4210500 2861500  1  5 14   5.2  996 158  5.0 7  4.5  80    0   36 299 -342  1
4210500 2861500  1  5 15   5.2  995 149  5.0 7  4.5  81    0   20 299 -342  1
4210500 2861500  1  5 16   5.5  993 144  5.2 8  4.7  83    0    4 313 -341  1
4210500 2861500  1  5 17   5.6  992 167  4.8 8  4.8  84    0    0 328 -340  1
4210500 2861500  1  5 18   5.5  991 157  5.9 8  4.9  84    0    0 330 -340  1
4210500 2861500  1  5 19   5.3  990 158  6.7 8  5.0  87    0    0 332 -341  1
4210500 2861500  1  5 20   5.4  988 165  5.5 8  5.0  88    0    0 334 -343  1
